Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),ZONE_HALLE:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_HALLE:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_HALLE:Zone Mean Air Temperature [C](TimeStep),ZONE_HALLE:AFN Node Total Pressure [Pa](TimeStep),ExtNode   1:AFN Node Total Pressure [Pa](TimeStep),ExtNode   2:AFN Node Total Pressure [Pa](TimeStep),GATE 2:AFN Linkage Node 1 to Node 2 Volume Flow Rate [m3/s](TimeStep),GATE 2:AFN Linkage Node 2 to Node 1 Volume Flow Rate [m3/s](TimeStep),GATE 2:AFN Linkage Node 1 to Node 2 Pressure Difference [Pa](TimeStep),GATE 4:AFN Linkage Node 1 to Node 2 Volume Flow Rate [m3/s](TimeStep),GATE 4:AFN Linkage Node 2 to Node 1 Volume Flow Rate [m3/s](TimeStep),GATE 4:AFN Linkage Node 1 to Node 2 Pressure Difference [Pa](TimeStep),GATE 2:AFN Surface Venting Window or Door Opening Factor [](TimeStep),GATE 4:AFN Surface Venting Window or Door Opening Factor [](TimeStep),ZONE_HALLE:AFN Zone Infiltration Volume [m3](TimeStep),ZONE_HALLE:AFN Zone Infiltration Air Change Rate [ach](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep) 
 01/15  09:00:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,786.227018349804,0.0 
 01/15  09:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,786.3861757679842,0.0 
 01/15  09:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,786.5441087491345,0.0 
 01/15  09:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,786.7008266268531,0.0 
 01/15  10:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,786.8563386673341,0.0 
 01/15  10:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,787.0106540664567,0.0 
 01/15  10:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,787.1637819512982,0.0 
 01/15  10:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,787.31573138095,0.0 
 01/15  11:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,787.4665113461668,0.0 
 01/15  11:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,787.6161307711154,0.0 
 01/15  11:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,787.7645985118577,0.0 
 01/15  11:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,787.9119233591482,0.0 
 01/15  12:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,788.0581140373833,0.0 
 01/15  12:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,788.2031792056516,0.0 
 01/15  12:30:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999993,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,788.3471274578479,0.0 
 01/15  12:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,788.4899673241889,0.0 
 01/15  13:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,788.6317072686509,0.0 
