Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),ZONE_HALLE:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_HALLE:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_HALLE:Zone Mean Air Temperature [C](TimeStep),ZONE_HALLE:Zone Ventilation Sensible Heat Loss Energy [J](TimeStep),ZONE_HALLE:Zone Ventilation Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_HALLE:Zone Ventilation Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_HALLE:Zone Ventilation Mass Flow Rate [kg/s](TimeStep),ZONE_HALLE:Zone Ventilation Current Density Air Change Rate [ach](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep) 
 01/15  16:30:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,790.5051669941752,0.0 
 01/15  16:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,790.6313818339261,0.0 
 01/15  17:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,790.7566238603324,0.0 
 01/15  17:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,790.8809005195509,0.0 
 01/15  17:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,791.0042192003459,0.0 
 01/15  17:45:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000007,4.478332702361259e-8,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,791.1265872363003,0.0 
 01/15  18:00:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.2391663511806306e-8,6.080419297638653,6.091833438104618,6.887848933006334,2.0268064325462176,791.2480119050017,0.0 
 01/15  18:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,791.36850043037,0.0 
 01/15  18:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,791.488059980795,0.0 
 01/15  18:45:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,791.606697670417,0.0 
 01/15  19:00:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.23916635118063e-8,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,791.7244205607569,0.0 
 01/15  19:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,791.8412356578048,0.0 
 01/15  19:30:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,791.9571499179585,0.0 
 01/15  19:45:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.23916635118063e-8,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,792.0721702418525,0.0 
 01/15  20:00:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,792.1863034788984,0.0 
 01/15  20:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,792.2995564287996,0.0 
 01/15  20:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,792.411935835844,0.0 
 01/15  20:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,792.5234483975219,0.0 
 01/15  21:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,792.6341007575393,0.0 
